time,users_count,finish_users_count 
0,91,11 
10,181,89 
20,275,182 
30,376,266 
40,468,358 
50,573,462 
60,655,554 
70,752,644 
80,840,733 
90,938,821 
100,1028,922 
110,1134,1015 
120,1234,1130 
130,1311,1219 
140,1414,1297 
150,1499,1409 
160,1597,1489 
170,1692,1589 
180,1782,1671 
190,1881,1772 
200,1891,1863 
210,1891,1890 
220,1973,1891 
230,2176,1969 
240,2358,2145 
250,2550,2312 
260,2739,2504 
270,2949,2703 
280,3167,2893 
290,3392,3118 
300,3579,3333 
310,3791,3533 
320,3977,3754 
330,4157,3946 
340,4357,4127 
350,4571,4322 
360,4780,4517 
370,4995,4723 
380,5201,4938 
390,5399,5159 
400,5603,5353 
410,5824,5552 
420,5891,5771 
430,5891,5879 
440,5891,5890 
450,6037,5891 
460,6414,5926 
470,6793,6057 
480,7159,6335 
490,7527,6753 
500,7896,7107 
510,8277,7469 
520,8678,7861 
530,9094,8263 
540,9533,8671 
550,9917,9076 
560,10343,9518 
570,10723,9912 
580,11105,10316 
590,11519,10684 
600,11900,11095 
610,12295,11497 
620,12681,11890 
630,13107,12280 
640,13482,12665 
650,13720,13039 
660,13720,13573 
670,13720,13704 
680,13720,13719 
