time,200,302 
0,364,86 
10,973,301 
20,1689,601 
30,2353,895 
40,3030,1181 
50,3759,1481 
60,4475,1804 
70,5163,2116 
80,5750,2360 
90,6514,2666 
100,7151,2937 
110,7898,3257 
120,8621,3579 
130,9337,3869 
140,10026,4183 
150,10673,4464 
160,11277,4722 
170,11913,4997 
180,12600,5282 
190,13313,5587 
200,13621,5785 
210,13657,5842 
220,13663,5854 
230,13866,5896 
240,14889,6196 
250,16160,6711 
260,17471,7287 
270,18807,7827 
280,20265,8427 
290,21689,9055 
300,23028,9642 
310,24302,10181 
320,25745,10790 
330,27031,11356 
340,28307,11894 
350,29655,12479 
360,31041,13076 
370,32481,13670 
380,33883,14254 
390,35305,14886 
400,36688,15497 
410,37923,16034 
420,39231,16577 
430,40444,17117 
440,40737,17417 
450,40764,17464 
460,41188,17539 
470,43472,18224 
480,46367,19347 
490,49209,20560 
500,52082,21793 
510,54807,23025 
520,57414,24126 
530,60148,25298 
540,62912,26475 
550,65743,27698 
560,68371,28851 
570,71037,29969 
580,73751,31142 
590,76462,32281 
600,79214,33465 
610,81743,34570 
620,84533,35747 
630,87429,36946 
640,90432,38250 
650,93204,39441 
660,95552,40548 
670,96052,41070 
680,96110,41168 
690,96124,41196 
700,98974,41860 
710,104309,43754 
720,109687,46081 
730,115127,48392 
740,120303,50617 
750,125684,52909 
760,131167,55268 
770,136852,57666 
780,142607,60132 
790,148239,62558 
800,153818,64949 
810,159070,67212 
820,164572,69567 
830,169865,71854 
840,175517,74235 
850,181246,76717 
860,186711,79069 
870,192130,81368 
880,197749,83782 
890,203304,86144 
900,206057,87882 
910,206388,88389 
920,206426,88462 
930,207981,88732 
940,216684,91366 
950,227069,95522 
960,237934,100037 
970,249379,104972 
980,260649,109717 
990,271347,114347 
1000,282509,119106 
1010,293954,124005 
1020,305504,128911 
1030,317140,133936 
1040,328712,138860 
