time,size_sent,size_rcv 
0,167.753125,1447.5046875 
10,500.66328125,3810.19765625 
20,924.2609375,6581.55703125 
30,1321.409375,9192.07734375 
40,1718.671875,11825.7265625 
50,2141.57109375,14669.5734375 
60,2576.58671875,17488.6640625 
70,2993.90078125,20167.246875 
80,3336.809375,22443.85703125 
90,3776.8546875,25394.50234375 
100,4151.92734375,27896.3265625 
110,4593.03203125,30786.4109375 
120,5030.6453125,33600.11953125 
130,5444.896875,36411.00625 
140,5861.8171875,39081.1171875 
150,6248.1828125,41620.6703125 
160,6605.371875,43976.59375 
170,6984.8328125,46456.4546875 
180,7386.6765625,49115.57890625 
190,7807.296875,51927.8578125 
200,8034.896875,53070.75 
210,8079.9421875,53234.96875 
220,8088.815625,53265.065625 
230,8171.6421875,54124.109375 
240,8694.559375,58073.53515625 
250,9429.4,63035.875 
260,10216.31171875,68135.72578125 
270,10985.196875,73341.93671875 
280,11832.82734375,79019.14453125 
290,12686.01640625,84569.02578125 
300,13491.18203125,89750.24140625 
310,14239.51484375,94724.415625 
320,15085.42890625,100368.275 
330,15857.11484375,105359.5046875 
340,16605.93125,110323.05234375 
350,17410.75859375,115584.540625 
360,18230.98515625,120995.44453125 
370,19070.36328125,126620.2265625 
380,19890.96484375,132070.07578125 
390,20746.525,137615.67265625 
400,21577.625,143040.16484375 
410,22314.19375,147828.98515625 
420,23078.2078125,152873.99765625 
430,23815.64453125,157568.76796875 
440,24095.84375,158713.671875 
450,24132.121875,158840.471875 
460,24295.51484375,160611.76640625 
470,25470.721875,169488.65078125 
480,27115.3640625,180643.2671875 
490,28800.61953125,191680.31328125 
500,30497.90546875,202822.0703125 
510,32152.10234375,213461.609375 
520,33687.8109375,223578.215625 
530,35309.16796875,234224.7359375 
540,36938.525,244955.2734375 
550,38622.91171875,255941.50546875 
560,40196.8421875,266099.29765625 
570,41752.39765625,276540.51953125 
580,43367.7421875,287080.17890625 
590,44955.71328125,297636.91640625 
600,46593.55,308232.175 
610,48104.0203125,318064.2890625 
620,49742.85234375,328929.88828125 
630,51430.52734375,340158.54453125 
640,53217.8046875,351798.51953125 
650,54857.53125,362572.85078125 
660,56333.63984375,371578.73125 
670,56815.775,373551.60859375 
680,56892.1640625,373818.5796875 
690,56912.859375,373887.821875 
700,58219.1546875,385309.671875 
710,61148.31875,405728.93125 
720,64349.43828125,426585.546875 
730,67557.61640625,447700.5171875 
740,70632.3546875,467684.2515625 
750,73800.3171875,488696.89609375 
760,77057.87734375,509789.36640625 
770,80394.49609375,532024.11875 
780,83805.6359375,554221.29609375 
790,87150.1484375,576005.25234375 
800,90450.9,597592.59921875 
810,93567.35546875,618057.7640625 
820,96826.5921875,639296.078125 
830,99966.80703125,659805.57578125 
840,103283.3453125,681835.61875 
850,106693.296875,703973.49375 
860,109938.2703125,725170.8390625 
870,113121.88671875,746194.65234375 
880,116465.94296875,767990.9078125 
890,119749.15625,789451.35078125 
900,121757.54609375,799802.45703125 
910,122164.49765625,801259.1984375 
920,122218.71328125,801442.78203125 
930,122832.60625,807926.26875 
940,127315.3546875,841705.528125 
950,133295.571875,881648.084375 
960,139637.49765625,923685.4984375 
970,146437.578125,967768.4265625 
980,153053.2921875,1011296.9609375 
990,159422.94296875,1052719.19453125 
1000,166007.88515625,1095753.725 
1010,172771.86796875,1140020.74453125 
1020,179592.18046875,1184730.15390625 
1030,186498.69609375,1229731.00234375 
1040,193342.46015625,1274356.59921875 
