time,tr_book_rate_service,page 
0,2351.82,8.892 
10,2351.82,7.957 
20,1390.23,7.686 
30,1390.23,7.502 
40,1390.23,7.502 
50,1390.23,7.502 
60,1390.23,6.853 
70,1390.23,6.853 
80,1390.23,6.853 
90,1340.628,6.853 
100,1340.628,6.853 
110,1340.628,6.853 
120,1340.628,6.853 
130,1340.628,6.853 
140,1340.628,6.853 
150,1340.628,6.853 
160,1340.628,6.853 
170,1340.628,6.853 
180,1340.628,6.853 
190,1340.628,6.853 
200,1340.628,6.853 
210,1340.628,6.853 
220,1340.628,6.853 
230,1340.628,6.853 
240,1340.628,6.853 
250,1340.628,6.853 
260,1340.628,6.831 
270,1340.628,6.831 
280,1340.628,6.831 
290,1340.628,6.831 
300,1340.628,6.831 
310,1340.628,6.766 
320,1340.628,6.766 
330,1340.628,6.766 
340,1340.628,6.654 
350,1340.628,6.654 
360,1340.628,6.654 
370,1340.628,6.654 
380,1340.628,6.654 
390,1340.628,6.654 
400,1227.303,6.654 
410,1227.303,6.654 
420,1227.303,6.595 
430,1227.303,6.595 
440,1227.303,6.595 
450,1227.303,6.595 
460,1227.303,6.595 
470,1227.303,6.595 
480,1227.303,6.595 
490,1227.303,6.443 
500,1227.303,6.443 
510,1227.303,6.443 
520,1227.303,6.443 
530,1227.303,6.443 
540,1052.2,6.443 
550,1052.2,6.208 
560,1052.2,6.208 
570,1052.2,6.208 
580,1052.2,6.208 
590,1052.2,6.208 
600,1026.897,6.208 
610,1026.897,6.208 
620,1026.897,6.208 
630,1026.897,6.208 
640,1026.897,6.208 
650,1026.897,6.208 
660,1026.897,6.208 
670,1026.897,6.208 
680,1026.897,6.208 
690,1026.897,6.208 
700,1026.897,6.208 
710,1026.897,6.208 
720,1026.897,6.201 
730,1026.897,6.201 
740,1026.897,6.201 
750,1026.897,6.201 
760,1026.897,6.125 
770,1026.897,6.125 
780,1026.897,6.118 
790,1026.897,6.118 
800,1026.897,6.118 
810,1026.897,6.104 
820,1026.897,6.104 
830,1026.897,6.104 
840,1026.897,6.104 
850,1026.897,6.104 
860,1026.897,6.104 
870,1026.897,6.104 
880,1026.897,6.104 
890,1026.897,6.104 
900,1026.897,6.104 
910,1026.897,6.104 
920,1026.897,6.104 
930,1026.897,6.104 
940,1026.897,6.104 
950,1026.897,6.104 
960,1026.897,6.104 
970,1026.897,6.104 
980,1026.897,6.104 
990,1026.897,6.104 
1000,1026.897,6.104 
1010,1026.897,6.104 
1020,1026.897,6.104 
1030,1026.897,6.104 
1040,1026.897,6.104 
