time,newphase 
280,1 
290,1 
300,1 
310,1 
320,1 
330,1 
340,1 
350,1 
360,1 
370,1 
380,1 
390,1 
400,1 
410,1 
420,1 
430,1 
440,1 
450,1 
460,1 
470,1 
480,1 
490,1 
500,1 
510,1 
520,1 
530,1 
540,1 
550,1 
560,1 
570,1 
580,2 
590,2 
600,2 
610,2 
620,2 
630,2 
640,2 
650,2 
660,2 
670,2 
680,2 
690,2 
700,2 
710,2 
720,2 
730,2 
740,2 
750,2 
760,2 
770,2 
780,2 
790,2 
800,2 
810,2 
820,2 
830,2 
840,2 
850,2 
860,2 
870,2 
880,2 
890,2 
900,2 
910,2 
920,2 
930,2 
940,2 
950,2 
960,3 
970,3 
980,3 
990,3 
1000,3 
1010,3 
1020,3 
1030,3 
1040,3 
1050,3 
1060,3 
1070,3 
1080,3 
1090,3 
1100,3 
1110,3 
1120,3 
1130,3 
1140,3 
1150,3 
1160,3 
1170,3 
1180,3 
1190,3 
1200,3 
1210,3 
1220,3 
1230,3 
1240,3 
1250,3 
1260,3 
1270,3 
1280,3 
1290,3 
1300,3 
1310,3 
1320,3 
1330,3 
1340,4 
1350,4 
1360,4 
1370,4 
1380,4 
1390,4 
1400,4 
1410,4 
1420,4 
1430,4 
1440,4 
1450,4 
1460,4 
1470,4 
1480,4 
1490,4 
1500,4 
1510,4 
1520,4 
1530,4 
1540,4 
1550,4 
1560,4 
1570,4 
1580,4 
1590,4 
1600,4 
1610,4 
1620,4 
1630,4 
1640,4 
1650,4 
1660,4 
1670,4 
1680,4 
1690,4 
1700,4 
1710,4 
1712,4 
