time,users,connected 
0,113,110 
10,213,97 
20,244,33 
30,301,58 
40,354,55 
50,382,22 
60,386,-2 
70,386,-23 
80,386,17 
90,386,-20 
100,386,-15 
110,386,-4 
120,386,28 
130,386,9 
140,389,8 
150,389,2 
160,389,-11 
170,389,-11 
180,389,17 
190,400,-4 
200,400,-110 
210,400,-67 
220,400,-52 
230,400,-53 
240,400,-49 
250,400,-23 
260,400,-7 
270,400,-4 
280,400,73 
290,400,184 
300,401,137 
310,489,92 
320,585,94 
330,679,95 
340,728,48 
350,749,15 
360,755,11 
370,803,43 
380,810,-1 
390,810,-17 
400,810,1 
410,810,-12 
420,810,-1 
430,810,-23 
440,810,-24 
450,810,-22 
460,810,25 
470,810,7 
480,810,-90 
490,810,-159 
500,810,-121 
510,810,-109 
520,810,-89 
530,810,-73 
540,810,-59 
550,810,-17 
560,810,-5 
570,810,-4 
580,810,332 
590,810,342 
600,949,270 
610,1246,296 
620,1536,286 
630,1846,315 
640,2120,274 
650,2416,294 
660,2683,266 
670,2973,295 
680,3227,253 
690,3473,249 
700,3680,203 
710,3945,269 
720,4180,235 
730,4426,246 
740,4661,235 
750,4877,207 
760,5140,264 
770,5377,233 
780,5405,-116 
790,5405,-182 
800,5405,-196 
810,5405,-232 
820,5405,-225 
830,5405,-272 
840,5405,-370 
850,5405,-388 
860,5405,-435 
870,5405,-447 
880,5405,-434 
890,5405,-387 
900,5405,-512 
910,5405,-640 
920,5405,-404 
930,5405,-101 
940,5405,-19 
950,5405,-4 
960,5405,724 
970,5405,802 
980,5405,720 
990,5405,696 
1000,5405,720 
1010,5405,785 
1020,5405,725 
1030,5909,709 
1040,6636,732 
1050,7238,607 
1060,7729,489 
1070,8107,384 
1080,8293,194 
1090,8365,62 
1100,8399,41 
1110,8528,133 
1120,8609,80 
1130,8707,98 
1140,8724,0 
1150,8724,-75 
1160,8724,-630 
1170,8724,-612 
1180,8724,-494 
1190,8724,-438 
1200,8724,-441 
1210,8724,-527 
1220,8724,-535 
1230,8724,-562 
1240,8724,-547 
1250,8724,-502 
1260,8724,-569 
1270,8724,-678 
1280,8724,-872 
1290,8724,-728 
1300,8724,-367 
1310,8724,-104 
1320,8724,-17 
1330,8724,-3 
1340,8724,1289 
1350,8724,1500 
1360,8724,1587 
1370,8724,1625 
1380,8724,1556 
1390,9090,1507 
1400,10199,1120 
1410,10515,327 
1420,10588,66 
1430,10909,324 
1440,11276,373 
1450,11395,108 
1460,11395,-113 
1470,11395,-227 
1480,11395,-221 
1490,11395,-193 
1500,11395,-58 
1510,11395,-25 
1520,11395,62 
1530,11395,146 
1540,11395,-1066 
1550,11395,-1124 
1560,11395,-840 
1570,11395,-682 
1580,11395,-464 
1590,11395,-415 
1600,11395,-441 
1610,11395,-450 
1620,11395,-427 
1630,11395,-507 
1640,11395,-501 
1650,11395,-586 
1660,11395,-809 
1670,11395,-1304 
1680,11395,-809 
1690,11395,-271 
1700,11395,-52 
1710,11395,-5 
1712,11395,0 
