time,tr_book_rate_service,tr_create_service,page,tr_manage_appointments,tr_realistic_flow,tr_book_service,tr_browse 
70,3320.055,1165.436,5.834,554.545,928.738,968.055,2216.096 
80,2883.452,1165.436,5.316,489.079,928.738,968.055,2216.096 
90,2883.452,1165.436,5.316,489.079,928.738,968.055,2216.096 
100,2883.452,1165.436,5.316,403.839,900.075,768.606,2043.506 
110,2883.452,1165.436,5.316,403.839,900.075,768.606,2043.506 
120,2883.452,1165.436,5.316,403.839,900.075,768.606,2043.506 
130,2883.452,1165.436,5.316,403.839,900.075,768.606,2043.506 
140,2883.452,1165.436,5.316,403.839,900.075,768.606,2043.506 
150,2883.452,1165.436,5.316,403.839,900.075,768.606,2043.506 
160,2883.452,1165.436,5.316,403.839,900.075,768.606,2043.506 
170,2883.452,1165.436,5.316,403.839,900.075,768.606,2043.506 
180,2883.452,1165.436,0.547,403.839,900.075,768.606,2043.506 
190,2883.452,1165.436,0.473,403.839,900.075,768.606,2043.506 
200,2883.452,1165.436,0.473,23.059,900.075,768.606,2043.506 
210,2883.452,1165.436,0.462,18.166,900.075,768.606,2043.506 
220,2883.452,1165.436,0.462,18.166,900.075,768.606,2043.506 
230,2883.452,1165.436,0.462,18.166,900.075,768.606,2043.506 
240,2883.452,1165.436,0.462,18.166,900.075,768.606,2043.506 
250,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
260,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
270,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
280,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
290,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
300,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
310,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
320,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
330,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
340,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
350,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
360,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
370,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
380,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
390,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
400,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
410,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
420,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
430,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
440,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
450,2883.452,1165.436,0.419,18.166,900.075,768.606,2043.506 
460,2883.452,494.405,0.419,18.166,900.075,768.606,2043.506 
470,2883.452,494.405,0.419,18.166,900.075,768.606,2043.506 
480,2883.452,494.405,0.419,18.166,900.075,768.606,2043.506 
490,2883.452,494.405,0.419,18.166,900.075,768.606,2043.506 
500,2883.452,494.405,0.419,18.166,900.075,768.606,2043.506 
510,2883.452,494.405,0.419,18.166,900.075,768.606,2043.506 
520,2883.452,494.405,0.419,18.166,900.075,768.606,2043.506 
530,2883.452,494.405,0.419,18.166,900.075,768.606,2043.506 
540,2883.452,494.405,0.415,18.166,873.898,768.606,2043.506 
550,2883.452,494.405,0.415,6.736,873.898,768.606,2043.506 
560,2883.452,218.981,0.415,6.736,873.898,768.606,2043.506 
570,2883.452,218.981,0.415,6.736,873.898,768.606,2043.506 
580,2307.97,218.981,0.405,6.736,456.065,768.606,2043.506 
590,1217.981,218.981,0.405,6.736,456.065,735.594,2043.506 
600,1217.981,218.981,0.405,6.736,456.065,735.594,1473.315 
610,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
620,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
630,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
640,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
650,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
660,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
670,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
680,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
690,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
700,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
710,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
720,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
730,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
740,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
750,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
760,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
770,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
780,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
790,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
800,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
810,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
820,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
830,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
840,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
850,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
860,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
870,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
880,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
890,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
900,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
910,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
920,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
930,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
940,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
950,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
960,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
970,1217.981,218.981,0.405,6.736,456.065,649.345,1473.315 
